Unnamed: 0,Acidez,AcidoCitrico,Azucar,CloruroSodico,Densidad,pH,Sulfatos,Alcohol,CalifProductor,PrecioBotella,Etiqueta,Clasificacion,Region,prop_missings,aleatorio,aleatorio2,Acidez_ident,AcidoCitrico_raiz4,Azucar_ident,CloruroSodico_ident,Densidad_cuarta,pH_ident,Sulfatos_cuarta,Alcohol_sqr,CalifProductor_ident,PrecioBotella_log,aleatorio_cuarta,aleatorio2_log,Compra
0,0.16,-0.81,26.1,-0.425,1.02792,3.38,0.7,9.4,2,1.0,M,***,1,7.692307692,0.951276224,0.242189665,2.870957739,1.147441075,3.705780991,1.5875439,377.6449197,3.350829649,112.316604,7.195924578,1.519975853,-9.210340372,117.6245199,-0.178132843,1
1,2.64,-0.88,14.8,0.037,0.99518,3.12,0.48,22.0,3,3.38,M,***,3,0.0,0.281968012,0.46421447,6.092553754,1.133433889,3.367813314,3.06023282,96.37660815,2.958401853,82.99511098,39.41465345,2.279913779,0.475013872,0.908101179,0.47248834,1
2,0.29,-0.4,21.5,0.06,0.99572,3.49,1.21,10.3,3,3.72,R,Desc,1,0.0,0.346338102,0.482316513,3.039831724,1.220678251,3.568201228,3.133548502,98.9903068,3.516856794,209.656004,8.639776654,2.279913779,0.608537492,2.066898581,0.510742063,0
3,-1.22,0.34,1.4,0.04,1.03236,3.2,1.66,11.6,2,6.23,B,***,2,7.692307692,0.825177952,0.405388476,1.07829544,1.326781922,2.967037484,3.069795735,440.4760583,3.079148867,338.7939208,10.95823811,1.519975853,1.262290774,66.59871499,0.336988168,1
4,0.27,1.05,11.25,-0.007,0.9962,4.93,0.26,15.0,1,2.44,R,Desc,2,0.0,0.653031143,0.459247972,3.013851111,1.409039572,3.261637628,2.919976732,101.3579026,5.690303053,59.8279492,18.32320014,0.760037926,-0.027402908,26.12276233,0.461732034,1
5,-0.22,0.39,1.8,-0.277,0.94724,3.09,0.75,12.6,3,4.31,R,****,2,0.0,0.24905235,0.594050681,2.377326092,1.333090894,2.979000942,2.059314377,2.570496865,2.913121722,119.9413202,12.92896508,2.279913779,0.804844101,0.552725353,0.719105282,2
6,0.22,0.49,10.4,-0.15,1.05918,3.01,-0.4,10.2,5,4.75,R,**,1,0.0,0.397008533,0.163591006,2.948899578,1.345446702,3.23621528,2.464144448,1001.643239,2.792374708,18.35065957,8.472834034,3.799789632,0.929646505,3.568683664,-0.570480208,2
7,0.33,-1.06,3.0,0.518,0.96643,3.55,-0.86,3.9,2,1.24,B,**,1,0.0,0.946898518,0.254743621,3.09179295,1.09481267,3.014891315,4.593486868,16.43843421,3.607417055,6.135989831,1.238813051,1.519975853,-1.818648618,115.4742542,-0.127596814,2
8,0.32,0.34,1.3,0.042,0.95523,2.93,2.16,12.0,3,4.44,MB,***,3,0.0,0.64106692,0.927205969,3.078802643,1.326781922,2.96404662,3.076171012,6.190735181,2.671627693,543.8897289,11.72698507,2.279913779,0.843365693,24.260387,1.16431505,1
9,0.51,1.83,2.9,-0.165,0.9974,5.26,2.23,12.1,4,2.55,R,Desc,1,0.0,0.035814257,0.922443845,3.325618467,1.485368157,3.01190045,2.416329872,107.4626895,6.188384488,578.6871445,11.92324344,3.039851705,0.046201616,0.00023669,1.159165834,1
10,0.5,-0.11,6.1,0.071,0.9978,3.35,0.88,6.8,3,4.23,R,Desc,2,7.692307692,0.703179752,0.561704609,3.31262816,1.265475048,3.107608111,3.168612524,109.5576069,3.305549519,141.5836498,3.765833386,2.279913779,0.780379157,35.11932603,0.663116962,0
11,0.6,0.06,50.4,0.069,0.9964,3.3,0.46,3.9,4,4.77,B,Desc,3,0.0,0.772439508,0.884427869,3.442531226,1.28967066,4.43256104,3.162237247,102.3568326,3.230082635,80.64918489,1.238813051,3.039851705,0.934965457,51.13701942,1.117080394,0
12,0.76,0.33,-26.0,-0.195,0.9885,3.07,0.56,11.4,1,5.26,M,*,1,0.0,0.213539983,0.844403612,3.65037613,1.325509269,2.147540639,2.320700722,68.13834775,2.882934969,92.89422951,10.58363655,0.760037926,1.0571551,0.298731236,1.070770145,1
13,0.24,0.24,-18.2,-0.182,1.00916,3.19,-1.01,9.8,2,3.06,M,*,3,0.0,0.89385109,0.931266405,2.974880191,1.313886918,2.380828062,2.36214002,182.9360067,3.06405549,3.977141375,7.821350084,1.519975853,0.330629028,91.69247851,1.168684696,1
