,month,bedrooms,bathrooms,sqft_living,sqft_lot,sqft_above,yr_built,lat,long,bedrooms_cont,log_sqft_lot,year,floors,waterfront,view,condition,basement,yr_renovated,bedrooms_cat,prop_missings,price,Luxury
0,7,3,2.5,2070,17235.0,1540,1980,47.5936,-122.013,3.0,8.938137870372788,2014,1.0,0,0,CD,1,0,3,11.76470588235294,653450,1
1,6,2,1.5,1640,9750.0,1540,1916,47.6624,-122.325,2.0,9.104979856318357,2014,1.5,0,0,A,1,0,2,11.76470588235294,710000,1
2,10,4,3.5,3720,8550.0,3720,2007,47.3216,-121.94,4.0,8.476371196895983,2014,1.0,0,1,B,0,0,4,11.76470588235294,780000,1
3,12,3,3.5,2260,9351.0,1880,2003,47.6422,-122.361,3.0,8.880029117468442,2014,2.0,0,0,B,1,0,3,11.76470588235294,795000,1
4,10,3,2.0,2050,4075.0,1170,1960,47.7447,-122.328,3.0,9.175334762777368,2014,1.0,0,0,A,1,0,3,11.76470588235294,399950,0
5,6,2,1.0,930,2370.0,930,1986,47.4866,-122.303,2.0,8.429454277108231,2014,1.0,0,0,B,0,0,2,11.76470588235294,230000,0
6,7,3,2.5,2000,3370.0,2000,1993,47.3508,-122.057,3.0,8.517193191416238,2014,2.0,0,0,CD,0,0,3,11.76470588235294,290000,0
7,6,3,2.5,3350,9800.0,2550,2005,47.7277,-122.207,3.0,7.215975002651466,2014,2.0,0,0,B,1,0,3,11.76470588235294,635000,1
8,6,3,2.0,2000,9600.0,1300,1968,47.4346,-122.171,3.0,9.025455532779063,2014,1.0,0,0,CD,1,0,3,11.76470588235294,295000,0
9,7,4,4.5,5010,1248.0,4000,2014,47.5455,-122.211,4.0,9.68084387626357,2014,2.0,0,1,B,1,0,4,11.76470588235294,2351960,1
10,11,4,2.0,2100,9720.0,1720,1924,47.5299,-122.266,4.0,9.004176840696656,2014,1.5,0,0,A,1,0,4,11.76470588235294,445000,0
11,7,2,1.0,550,4000.0,550,1952,47.511,-122.348,2.0,6.665683717782408,2014,1.0,0,0,B,0,0,2,11.76470588235294,115000,0
12,12,4,3.0,2660,9581.0,1930,1968,47.616,-122.218,4.0,8.53346016388011,2014,1.0,0,1,B,1,1,4,11.76470588235294,1444000,1
13,8,4,1.5,1370,6120.0,1070,1953,47.4718,-122.323,4.0,8.352318548226004,2014,1.0,0,0,B,1,0,4,11.76470588235294,296000,0
14,7,3,2.5,1530,7200.0,1530,1994,47.5691,-122.007,3.0,8.571681376700306,2014,2.0,0,0,B,0,0,3,11.76470588235294,449950,0
15,9,3,1.0,1240,7560.0,1240,1972,47.4579,-122.09,3.0,9.092907275084087,2014,1.0,0,0,CD,0,0,3,11.76470588235294,270000,0
16,8,29,1.5,1360,5817.0,1120,2003,47.6526,-122.384,2.0,8.38206051742474,2014,2.0,0,0,B,1,0,6+,18.75,396500,0
17,12,3,1.0,1010,6018.0,1010,1974,47.3437,-122.078,3.0,8.971448463693834,2014,1.0,0,0,A,0,0,3,11.76470588235294,270000,0
18,10,5,2.5,2500,5265.0,1850,1979,47.7564,-122.144,5.0,8.411832675758411,2014,1.0,0,0,B,1,0,5,11.76470588235294,467000,0
19,10,3,2.5,1500,4500.0,1500,1992,47.3719,-122.091,3.0,8.517193191416238,2014,2.0,0,0,CD,0,0,3,11.76470588235294,240000,0
20,11,3,0.0,2180,4125.0,2180,1984,47.6215,-122.031,3.0,8.460622839927844,2014,2.0,0,0,B,0,0,3,11.76470588235294,570000,1
21,5,3,2.0,1850,14012.0,1320,1979,47.2975,-122.37,3.0,8.488176242345745,2014,1.0,0,0,B,1,0,3,11.76470588235294,218000,0
22,7,3,2.5,2200,30184.0,2200,1985,47.3139,-122.116,3.0,8.986946789406764,2014,2.0,0,0,B,0,0,3,11.76470588235294,424000,0
23,7,3,1.5,1370,7667.0,1370,1955,47.6217,-122.198,3.0,8.719317375506371,2014,1.0,0,0,B,0,0,3,11.76470588235294,815000,1
24,7,3,1.0,1640,1829.0,1500,1920,47.6169,-122.212,3.0,8.517193191416238,2014,1.5,0,0,A,1,0,3,18.75,1014250,1
25,9,4,2.0,2560,3996.0,1350,1960,47.3326,-122.323,4.0,8.411832675758411,2014,1.0,0,0,CD,1,0,4,11.76470588235294,255000,0
26,6,4,2.5,3030,5186.0,3030,2003,47.6675,-122.176,4.0,8.961879012677683,2014,2.0,0,0,B,0,0,4,11.76470588235294,902000,1
27,11,2,1.0,1120,5502.0,750,1929,47.5421,-122.378,2.0,9.259130536145614,2014,1.0,0,1,B,1,0,2,11.76470588235294,320000,0
28,8,4,3.0,2840,4180.0,1990,1974,47.7153,-122.257,4.0,8.928905412284868,2014,1.0,0,1,CD,1,0,4,11.76470588235294,760000,1
29,11,3,1.5,1010,27427.0,1010,1943,47.4925,-122.278,3.0,9.95227771670556,2014,1.0,0,0,B,0,0,3,11.76470588235294,194000,0
30,10,3,2.0,1400,8470.0,1400,1951,47.6272,-122.209,3.0,9.22009266341886,2014,1.0,0,0,B,0,0,3,11.76470588235294,850000,1
31,12,4,2.5,3060,6380.0,3060,2005,47.5521,-121.989,4.0,8.2482674474469,2014,2.0,0,0,B,0,0,4,11.76470588235294,753000,1
32,9,3,2.0,2460,26862.0,2460,1955,47.3811,-122.325,3.0,8.200288260287554,2014,1.0,1,1,B,0,0,3,11.76470588235294,357000,0
